data_set,arch,forget_cls,method,budget_b,lambda,mask_mode,epochs_run,best_epoch,forget_acc,retain_acc,overall_acc,baseline_forget,baseline_retain,baseline_overall,forget_drop,retain_drop,score,time_s,
CIFAR10,EfficientNet-B0,automobile,GradientAscent,,,,5,1,16.4,66.11,61.14,93.2,83.33,84.32,76.8,17.22,59.58,14.3,
CIFAR10,EfficientNet-B0,automobile,LinearScalar,,1,,5,1,74,77.51,77.16,93.2,83.33,84.32,19.2,5.82,13.38,20.9,
CIFAR10,EfficientNet-B0,automobile,LinearScalar,,1.5,,5,1,71,78.57,77.81,93.2,83.33,84.32,22.2,4.77,17.43,21.1,
CIFAR10,EfficientNet-B0,automobile,LinearScalar,,2,,5,1,68.4,78.66,77.63,93.2,83.33,84.32,24.8,4.68,20.12,21.6,
CIFAR10,EfficientNet-B0,automobile,LinearScalar,,2.5,,5,1,66.7,79.92,78.6,93.2,83.33,84.32,26.5,3.41,23.09,21.6,
CIFAR10,EfficientNet-B0,automobile,PCGrad,,,,5,1,72.8,79.39,78.73,93.2,83.33,84.32,20.4,3.94,16.46,29.1,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.001,1,random,5,5,78.4,80.3,80.11,93.2,83.33,84.32,14.8,3.03,11.77,75.4,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.001,1,structured,5,1,78.5,79.18,79.11,93.2,83.33,84.32,14.7,4.16,10.54,29.9,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.001,2,random,5,5,75.8,79.67,79.28,93.2,83.33,84.32,17.4,3.67,13.73,75.6,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.001,2,structured,5,1,77.6,79.36,79.18,93.2,83.33,84.32,15.6,3.98,11.62,31,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.003,1,random,5,5,73.9,80.22,79.59,93.2,83.33,84.32,19.3,3.11,16.19,75,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.003,1,structured,5,1,75.5,79.01,78.66,93.2,83.33,84.32,17.7,4.32,13.38,29.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.003,2,random,5,5,71.2,80.1,79.21,93.2,83.33,84.32,22,3.23,18.77,76.4,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.003,2,structured,5,1,74.5,79.41,78.92,93.2,83.33,84.32,18.7,3.92,14.78,29.7,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.005,1,random,5,5,69.4,79.44,78.44,93.2,83.33,84.32,23.8,3.89,19.91,77.2,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.005,1,structured,5,1,76.2,79.51,79.18,93.2,83.33,84.32,17,3.82,13.18,31.1,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.005,2,random,5,5,3.6,57,51.66,93.2,83.33,84.32,89.6,26.33,63.27,75.5,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.005,2,structured,5,1,73.2,78.79,78.23,93.2,83.33,84.32,20,4.54,15.46,30.7,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.01,1,random,5,5,40.4,78.52,74.71,93.2,83.33,84.32,52.8,4.81,47.99,75.3,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.01,1,structured,5,1,75.1,80.61,80.06,93.2,83.33,84.32,18.1,2.72,15.38,29.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.01,2,random,5,5,0.9,66.47,59.91,93.2,83.33,84.32,92.3,16.87,75.43,77.4,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.01,2,structured,5,1,71.7,78.66,77.96,93.2,83.33,84.32,21.5,4.68,16.82,30.7,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.1,random,5,1,77.9,79.18,79.05,93.2,83.33,84.32,15.3,4.16,11.14,59.6,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.1,structured,5,3,0,78.03,70.23,93.2,83.33,84.32,93.2,5.3,87.9,44,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.15,random,5,5,75,81.59,80.93,93.2,83.33,84.32,18.2,1.74,16.46,75.3,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.15,structured,5,3,0,72.52,65.27,93.2,83.33,84.32,93.2,10.81,82.39,44.9,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.25,random,5,5,69.6,81.18,80.02,93.2,83.33,84.32,23.6,2.16,21.44,76.5,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.25,structured,5,2,0,66.7,60.03,93.2,83.33,84.32,93.2,16.63,76.57,30.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.5,random,5,5,34.3,77.89,73.53,93.2,83.33,84.32,58.9,5.44,53.46,77,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.5,structured,5,1,77.1,79.37,79.14,93.2,83.33,84.32,16.1,3.97,12.13,31.3,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.75,random,5,5,40.4,78.64,74.82,93.2,83.33,84.32,52.8,4.69,48.11,75.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.02,0.75,structured,5,1,74.4,78.94,78.49,93.2,83.33,84.32,18.8,4.39,14.41,31,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.1,random,5,5,76.9,82.27,81.73,93.2,83.33,84.32,16.3,1.07,15.23,74.7,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.1,structured,5,3,0,77.64,69.88,93.2,83.33,84.32,93.2,5.69,87.51,45,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.15,random,5,5,71.8,81.89,80.88,93.2,83.33,84.32,21.4,1.44,19.96,73.4,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.15,structured,5,3,0,68.58,61.72,93.2,83.33,84.32,93.2,14.76,78.44,43.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.25,random,5,5,66.6,81.34,79.87,93.2,83.33,84.32,26.6,1.99,24.61,74,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.25,structured,5,2,0,68.37,61.53,93.2,83.33,84.32,93.2,14.97,78.23,29.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.5,random,5,5,41.1,79.49,75.65,93.2,83.33,84.32,52.1,3.84,48.26,75,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.5,structured,5,1,74.3,79.13,78.65,93.2,83.33,84.32,18.9,4.2,14.7,29.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.75,random,5,5,6,73.3,66.57,93.2,83.33,84.32,87.2,10.03,77.17,75.2,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.03,0.75,structured,5,1,75.8,78.94,78.63,93.2,83.33,84.32,17.4,4.39,13.01,30.3,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.05,1,random,5,3,3,72.02,65.12,93.2,83.33,84.32,90.2,11.31,78.89,59.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.05,1.5,random,5,3,0,52.33,47.1,93.2,83.33,84.32,93.2,31,62.2,44.4,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.05,2,random,5,2,23.9,76.86,71.56,93.2,83.33,84.32,69.3,6.48,62.82,44.3,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.05,2.5,random,5,2,5.3,72.89,66.13,93.2,83.33,84.32,87.9,10.44,77.46,45.4,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.1,1,random,5,3,0,51.39,46.25,93.2,83.33,84.32,93.2,31.94,61.26,44.9,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.1,1.5,random,5,2,0.1,65.09,58.59,93.2,83.33,84.32,93.1,18.24,74.86,44,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.1,2,random,5,2,0,54.43,48.99,93.2,83.33,84.32,93.2,28.9,64.3,29.8,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.1,2.5,random,5,1,75.1,79.7,79.24,93.2,83.33,84.32,18.1,3.63,14.47,30.6,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.25,1,random,5,1,78.4,79.92,79.77,93.2,83.33,84.32,14.8,3.41,11.39,29.7,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.25,1.5,random,5,1,77.9,78.56,78.49,93.2,83.33,84.32,15.3,4.78,10.52,29.6,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.25,2,random,5,1,75.1,79.49,79.05,93.2,83.33,84.32,18.1,3.84,14.26,30.6,
CIFAR10,EfficientNet-B0,automobile,PS-PCGrad,0.25,2.5,random,5,1,76.3,78.59,78.36,93.2,83.33,84.32,16.9,4.74,12.16,29.9,
CIFAR10,EfficientNet-B0,automobile+cat+dog,GradientAscent,,,,5,1,6.1,81.5,58.88,79.6,86.34,84.32,73.5,4.84,68.66,32,
CIFAR10,EfficientNet-B0,automobile+cat+dog,LinearScalar,,1,,5,1,11.17,85.27,63.04,79.6,86.34,84.32,68.43,1.07,67.36,49.5,
CIFAR10,EfficientNet-B0,automobile+cat+dog,LinearScalar,,1.5,,5,1,8.2,86.79,63.21,79.6,86.34,84.32,71.4,-0.44,71.84,48.6,
CIFAR10,EfficientNet-B0,automobile+cat+dog,LinearScalar,,2,,5,1,6.93,86.76,62.81,79.6,86.34,84.32,72.67,-0.41,73.08,48.2,
CIFAR10,EfficientNet-B0,automobile+cat+dog,LinearScalar,,2.5,,5,1,6.27,86.81,62.65,79.6,86.34,84.32,73.33,-0.47,73.8,47.8,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PCGrad,,,,5,1,10.77,86.54,63.81,79.6,86.34,84.32,68.83,-0.2,69.03,70.8,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.001,1,random,5,5,75.27,86.96,83.45,79.6,86.34,84.32,4.33,-0.61,4.94,202.4,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.001,1,structured,5,1,73.9,84.51,81.33,79.6,86.34,84.32,5.7,1.83,3.87,79,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.001,2,random,5,5,70.67,86.87,82.01,79.6,86.34,84.32,8.93,-0.53,9.46,202.7,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.001,2,structured,5,1,71.37,85.79,81.46,79.6,86.34,84.32,8.23,0.56,7.67,78.9,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.003,1,random,5,5,70.6,87.64,82.53,79.6,86.34,84.32,9,-1.3,10.3,205.1,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.003,1,structured,5,1,71.27,86.6,82,79.6,86.34,84.32,8.33,-0.26,8.59,79.2,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.003,2,random,5,5,67.17,87.9,81.68,79.6,86.34,84.32,12.43,-1.56,13.99,210.6,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.003,2,structured,5,1,62.23,84.66,77.93,79.6,86.34,84.32,17.37,1.69,15.68,78,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.005,1,random,5,5,65,88.09,81.16,79.6,86.34,84.32,14.6,-1.74,16.34,207.2,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.005,1,structured,5,1,66.13,86.06,80.08,79.6,86.34,84.32,13.47,0.29,13.18,77.8,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.005,2,random,5,5,55.43,87,77.53,79.6,86.34,84.32,24.17,-0.66,24.83,208,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.005,2,structured,5,1,52.83,84.57,75.05,79.6,86.34,84.32,26.77,1.77,25,79.4,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.01,1,random,5,5,45.77,87.03,74.65,79.6,86.34,84.32,33.83,-0.69,34.52,201.2,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.01,1,structured,5,1,56.43,86.06,77.17,79.6,86.34,84.32,23.17,0.29,22.88,79.5,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.01,2,random,5,4,8.3,68.17,50.21,79.6,86.34,84.32,71.3,18.17,53.13,196.5,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.01,2,structured,5,1,28.9,82.27,66.26,79.6,86.34,84.32,50.7,4.07,46.63,77.8,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.02,0.1,random,5,5,72.53,87.8,83.22,79.6,86.34,84.32,7.07,-1.46,8.53,190.4,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.02,0.1,structured,5,3,0,78.26,54.78,79.6,86.34,84.32,79.6,8.09,71.51,110.7,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.02,0.15,random,5,5,70.63,87.91,82.73,79.6,86.34,84.32,8.97,-1.57,10.54,191.7,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.02,0.15,structured,5,2,0,78.94,55.26,79.6,86.34,84.32,79.6,7.4,72.2,74,
CIFAR10,EfficientNet-B0,automobile+cat+dog,PS-PCGrad,0.02,0.25,random,5,5,65.83,88.2,81.49,79.6,86.34,84.32,13.77,-1.86,15.63,192.6,
